"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica se o sistema impede o registro quando o email fornecido já existe na base de dados.","0","Não deve registrar um usuário com email duplicado","","2025-10-07","passed","2025-10-07","","","UserTest","it_should_not_register_already_registered_email"
"Testa a função isLoggedIn para garantir que ela retorna verdadeiro quando um ID de usuário existe na sessão.","0","Deve verificar corretamente o status de ""logado""","","2025-10-07","passed","2025-10-07","","","UserTest","It_should_verify_if_is_logged_in"
"","7","Não deve calcular a média com entradas negativas","","2025-10-07","passed","2025-10-07","","","NotesTest","it_shouldnt_be_able_to_calculate_media_and_approval_with_invalid_inputs"
"","6","Deve ser capaz de salvar a média calculada","","2025-10-07","passed","2025-10-07","","","NotesTest","it_should_be_able_to_save_media"
"","2","Deve retornar o status de aprovação correto (Aprovado/Reprovado)","","2025-10-07","passed","2025-10-07","","","NotesTest","it_should_be_able_to_get_approval"
"Verifica se um usuário pode ser criado com dados válidos e o método de registro retorna verdadeiro.","0","Deve registrar um novo usuário com sucesso","","2025-10-07","passed","2025-10-07","","","UserTest","it_should_register_users_with_valid_credentials"
"Este teste verifica se o cálculo da média está correto e se o status de aprovação é retornado corretamente quando a média é igual ou superior à nota mínima.","1","Deve calcular a média e o status APROVADO com sucesso","","2025-10-07","passed","2025-10-07","","","NotesTest","it_should_be_able_to_calculate_media_and_approval"
"Verifica se o sistema nega o acesso quando a senha ou o email estão incorretos.","107","Não deve realizar o login com credenciais inválidas","","2025-10-07","passed","2025-10-07","","","UserTest","it_shouldnt_login_with_invalid_credentials"
"","1","Não deve calcular a média com entradas nulas","","2025-10-07","passed","2025-10-07","","","NotesTest","it_shouldnt_be_able_to_calculate_media_and_approval_with_empty_inputs"
"Simula um login bem-sucedido, verificando se a função retorna verdadeiro e se os dados do usuário são armazenados na sessão.","109","Deve realizar o login com credenciais válidas","","2025-10-07","passed","2025-10-07","","","UserTest","it_should_be_able_to_sign_in"
